PINCODE,CITY
380007,ahmedabad
380001,ahmedabad
382140,ahmedabad
192233,ahmedabad
261201,ahmedabad
380015,ahmedabad
380004,ahmedabad
380003,ahmedabad
380050,ahmedabad
380009,ahmedabad
380027,ahmedabad
380019,ahmedabad
380013,ahmedabad
382345,ahmedabad
382130,ahmedabad
382425,ahmedabad
414002,ahmednagar
414005,ahmednagar
414305,ahmednagar
413702,ahmednagar
414503,ahmednagar
414103,ahmednagar
413201,ahmednagar
414402,ahmednagar
413204,ahmednagar
414113,ahmednagar
413728,ahmednagar
414401,ahmednagar
414501,ahmednagar
413205,ahmednagar
414306,ahmednagar
414302,ahmednagar
414102,ahmednagar
414403,ahmednagar
414502,ahmednagar
413701,ahmednagar
413726,ahmednagar
414105,ahmednagar
414301,ahmednagar
414304,ahmednagar
414106,ahmednagar
414602,ahmednagar
413704,ahmednagar
413703,ahmednagar
414505,ahmednagar
422601,ahmednagar
413714,ahmednagar
413737,ahmednagar
422602,ahmednagar
413723,ahmednagar
423604,ahmednagar
422603,ahmednagar
422620,ahmednagar
413717,ahmednagar
413710,ahmednagar
423602,ahmednagar
423601,ahmednagar
422610,ahmednagar
414604,ahmednagar
413736,ahmednagar
422611,ahmednagar
414603,ahmednagar
413721,ahmednagar
423107,ahmednagar
413706,ahmednagar
413705,ahmednagar
422604,ahmednagar
413708,ahmednagar
422622,ahmednagar
422605,ahmednagar
423603,ahmednagar
423109,ahmednagar
413725,ahmednagar
413720,ahmednagar
413739,ahmednagar
414001,ahmednagar
414606,ahmednagar
414201,ahmednagar
414303,ahmednagar
414111,ahmednagar
414110,ahmednagar
413712,ahmednagar
413722,ahmednagar
413711,ahmednagar
414701,ahmednagar
414006,ahmednagar
413738,ahmednagar
423607,ahmednagar
413718,ahmednagar
423605,ahmednagar
414504,ahmednagar
414607,ahmednagar
413713,ahmednagar
413707,ahmednagar
414601,ahmednagar
414101,ahmednagar
413715,ahmednagar
413716,ahmednagar
413719,ahmednagar
414609,ahmednagar
414605,ahmednagar
413709,ahmednagar
422608,ahmednagar
414003,ahmednagar
533294,akola
784182,akola
444101,akola
444511,akola
444302,akola
444401,akola
444102,akola
444004,akola
444103,akola
444104,akola
444405,akola
444106,akola
444107,akola
444311,akola
444501,akola
444407,akola
444003,akola
444006,akola
444108,akola
444109,akola
481115,akola
431202,akola
311603,akola
312027,akola
313604,akola
444007,akola
606904,akola
283102,akola
825407,akola
413307,akola
444126,akola
444002,akola
444111,akola
606704,akola
607802,akola
722150,akola
312205,akola
711322,akola
516401,akola
413511,akola
444117,akola
444502,akola
444001,akola
534406,akola
570010,akola
828142,akola
444005,akola
676508,akola
445109,akola
577536,akola
444801,akola
466554,akola
464668,akola
431208,akola
621715,akola
571311,akola
673317,akola
600058,ambattur
600053,ambattur
444602,amravati
444701,amravati
444904,amravati
444709,amravati
444902,amravati
444908,amravati
444802,amravati
444711,amravati
444905,amravati
444708,amravati
444915,amravati
444804,amravati
444903,amravati
444906,amravati
444806,amravati
444705,amravati
444720,amravati
444704,amravati
444807,amravati
444803,amravati
444717,amravati
444702,amravati
444719,amravati
444808,amravati
444813,amravati
444723,amravati
444706,amravati
444601,amravati
444603,amravati
444604,amravati
444805,amravati
444810,amravati
497223,amravati
444901,amravati
444707,amravati
444809,amravati
444710,amravati
134105,amravati
444907,amravati
444606,amravati
444607,amravati
445101,amravati
444605,amravati
393001,ankleshwar
393002,ankleshwar
401103,asangaon
413531,asangaon
246148,asangaon
461331,asangaon
421601,asangaon
415002,asangaon
382427,aslali
824111,aurangabad
824112,aurangabad
824113,aurangabad
824143,aurangabad
824202,aurangabad
824114,aurangabad
824203,aurangabad
824120,aurangabad
824122,aurangabad
824121,aurangabad
824127,aurangabad
824208,aurangabad
824303,aurangabad
824301,aurangabad
824124,aurangabad
824125,aurangabad
824129,aurangabad
824102,aurangabad
824115,aurangabad
824302,aurangabad
824103,aurangabad
431002,aurangabad
431105,aurangabad
431154,aurangabad
431007,aurangabad
431147,aurangabad
431109,aurangabad
431103,aurangabad
431101,aurangabad
423702,aurangabad
431121,aurangabad
431148,aurangabad
423703,aurangabad
431152,aurangabad
431111,aurangabad
431104,aurangabad
431110,aurangabad
431116,aurangabad
423701,aurangabad
431133,aurangabad
431113,aurangabad
431132,aurangabad
431112,aurangabad
431135,aurangabad
431120,aurangabad
281006,aurangabad
207243,aurangabad
431001,aurangabad
431003,aurangabad
431107,aurangabad
431118,aurangabad
203401,aurangabad
221010,aurangabad
824123,aurangabad
135002,aurangabad
431151,aurangabad
431134,aurangabad
431807,aurangabad
431136,aurangabad
431115,aurangabad
431102,aurangabad
431008,aurangabad
431117,aurangabad
249402,aurangabad
431005,aurangabad
121105,aurangabad
824101,aurangabad
523370,aurangabad
824219,aurangabad
431215,aurangabad
431137,aurangabad
431150,aurangabad
203205,aurangabad
243638,aurangabad
250001,aurangabad
431004,aurangabad
431010,aurangabad
143402,aurangabad
209310,aurangabad
227813,aurangabad
202001,aurangabad
262905,aurangabad
824304,aurangabad
431009,aurangabad
261403,aurangabad
742201,aurangabad
201003,aurangabad
246725,aurangabad
804409,aurangabad
824126,aurangabad
431006,aurangabad
431011,aurangabad
520007,autonagar
530012,autonagar
222125,badlapur
421503,badlapur
212402,bahadurgarh
124507,bahadurgarh
245208,bahadurgarh
124508,bahadurgarh
147021,bahadurgarh
413102,baramati
413133,baramati
413401,barshi
413411,barshi
515134,beed
573216,beed
571434,beed
577115,beed
413207,beed
431517,beed
431523,beed
414203,beed
431518,beed
431153,beed
431126,beed
431128,beed
431127,beed
431519,beed
431143,beed
414202,beed
414208,beed
431123,beed
431124,beed
431131,beed
431125,beed
431515,beed
414204,beed
413229,beed
414205,beed
413249,beed
431129,beed
431130,beed
431530,beed
431144,beed
431142,beed
431520,beed
332316,beed
416011,beed
431122,beed
573121,beed
486446,beed
571103,beed
571111,beed
484113,beed
461228,beed
485775,beed
509133,beed
573137,beed
410201,beed
534005,beed
562121,beed
577132,beed
571201,beed
441903,bhandara
441914,bhandara
441906,bhandara
441907,bhandara
441803,bhandara
441804,bhandara
441909,bhandara
441924,bhandara
441910,bhandara
441809,bhandara
441802,bhandara
441913,bhandara
441912,bhandara
441904,bhandara
441905,bhandara
441805,bhandara
441915,bhandara
441908,bhandara
441203,bhandara
228155,bhandara
321022,bhandara
742123,bhandara
364525,bhavnagar
364530,bhavnagar
364210,bhavnagar
364295,bhavnagar
364050,bhavnagar
364004,bhavnagar
364002,bhavnagar
364130,bhavnagar
364320,bhavnagar
364505,bhavnagar
364265,bhavnagar
364510,bhavnagar
364070,bhavnagar
364290,bhavnagar
364280,bhavnagar
364760,bhavnagar
364270,bhavnagar
364275,bhavnagar
364230,bhavnagar
364240,bhavnagar
364140,bhavnagar
364260,bhavnagar
364120,bhavnagar
364145,bhavnagar
364150,bhavnagar
364310,bhavnagar
364005,bhavnagar
364001,bhavnagar
364060,bhavnagar
364110,bhavnagar
364135,bhavnagar
364313,bhavnagar
364250,bhavnagar
364330,bhavnagar
364003,bhavnagar
364006,bhavnagar
364081,bhavnagar
364740,bhavnagar
415514,bhiwadi
421308,bhiwandi
462030,bhopal
463106,bhopal
462101,bhopal
463111,bhopal
462038,bhopal
462120,bhopal
462010,bhopal
462042,bhopal
276202,bhopal
462001,bhopal
462100,bhopal
462041,bhopal
462024,bhopal
462016,bhopal
462003,bhopal
462002,bhopal
462040,bhopal
462020,bhopal
462116,bhopal
494446,bhopal
431736,bhopal
462022,bhopal
462026,bhopal
335704,bhopal
462008,bhopal
462036,bhopal
462099,bhopal
462027,bhopal
462023,bhopal
462044,bhopal
462028,bhopal
585102,bhopal
361315,bhopal
462047,bhopal
462037,bhopal
462045,bhopal
462004,bhopal
462057,bhopal
311802,bhopal
462043,bhopal
472337,bhopal
277209,bhopal
462031,bhopal
462066,bhopal
462033,bhopal
462011,bhopal
462039,bhopal
342603,bhopal
411026,bhosari
411039,bhosari
396321,bilimora
560099,bommasandra
561213,bommasandra
571405,chakan
244225,chakan
587111,chakan
587313,chakan
804404,chakan
571402,chakan
410501,chakan
811304,chakan
382213,changodar
391135,chhatral
382729,chhatral
391210,chhatral
385530,chhatral
422003,chitegaon
441212,chitegaon
682037,cochin
641201,coimbatore
641006,coimbatore
641105,coimbatore
641107,coimbatore
641101,coimbatore
641114,coimbatore
641022,coimbatore
641010,coimbatore
641108,coimbatore
641109,coimbatore
642101,coimbatore
642106,coimbatore
642202,coimbatore
642130,coimbatore
642109,coimbatore
642110,coimbatore
642002,coimbatore
642117,coimbatore
642001,coimbatore
642120,coimbatore
642123,coimbatore
642134,coimbatore
642127,coimbatore
642105,coimbatore
642005,coimbatore
642007,coimbatore
642107,coimbatore
641653,coimbatore
641103,coimbatore
641104,coimbatore
641659,coimbatore
641305,coimbatore
641113,coimbatore
641302,coimbatore
641668,coimbatore
641658,coimbatore
641671,coimbatore
641669,coimbatore
641112,coimbatore
641018,coimbatore
641045,coimbatore
641036,coimbatore
641004,coimbatore
641062,coimbatore
641024,coimbatore
641111,coimbatore
641051,coimbatore
641063,coimbatore
641046,coimbatore
641047,coimbatore
641026,coimbatore
641043,coimbatore
642133,coimbatore
641202,coimbatore
642114,coimbatore
641401,coimbatore
641402,coimbatore
641002,coimbatore
641021,coimbatore
641032,coimbatore
641028,coimbatore
641019,coimbatore
641007,coimbatore
641020,coimbatore
641017,coimbatore
642108,coimbatore
642004,coimbatore
642129,coimbatore
642205,coimbatore
641697,coimbatore
641014,coimbatore
641023,coimbatore
641009,coimbatore
641035,coimbatore
641044,coimbatore
641040,coimbatore
641039,coimbatore
642003,coimbatore
641407,coimbatore
641001,coimbatore
571189,coimbatore
641008,coimbatore
641110,coimbatore
641029,coimbatore
641030,coimbatore
641025,coimbatore
642103,coimbatore
642104,coimbatore
642125,coimbatore
638459,coimbatore
641049,coimbatore
641016,coimbatore
641015,coimbatore
641012,coimbatore
641003,coimbatore
641041,coimbatore
641011,coimbatore
641034,coimbatore
641031,coimbatore
641301,coimbatore
641042,coimbatore
641050,coimbatore
641037,coimbatore
641005,coimbatore
641013,coimbatore
641038,coimbatore
642111,coimbatore
641048,coimbatore
641033,coimbatore
641027,coimbatore
642006,coimbatore
392130,dahej
561204,dahej
571106,dahej
524121,daman
577111,daman
573134,daman
396210,daman
333034,daman
635123,daman
637207,daman
637304,daman
754031,daman
752020,daman
631051,daman
606902,daman
744107,daman
744202,daman
744105,daman
744103,daman
744204,daman
744210,daman
744205,daman
744206,daman
625503,daman
607301,daman
614404,daman
396215,daman
744104,daman
744102,daman
744101,daman
606901,daman
627857,daman
534269,daman
508278,daman
524405,daman
503165,daman
509215,daman
515541,daman
518122,daman
577228,daman
691312,daman
454446,daman
457882,daman
625108,daman
744201,daman
736123,daman
621103,daman
613104,daman
246124,daman
744211,daman
744207,daman
523279,daman
523261,daman
523183,daman
531111,daman
517297,daman
522236,daman
509106,daman
563114,daman
678583,daman
676503,daman
756033,daman
756083,daman
637405,daman
602106,daman
604402,daman
744209,daman
608301,daman
639114,daman
763008,daman
683512,daman
744203,daman
396240,daman
507169,daman
396220,daman
623401,daman
603307,daman
635102,daman
607204,daman
246473,daman
723132,daman
628151,daman
621313,daman
609115,daman
621214,daman
517641,daman
521104,daman
605102,daman
637208,daman
625517,daman
744112,daman
744106,daman
563113,daman
574221,daman
689583,daman
756125,daman
623115,daman
605502,daman
610102,daman
635306,daman
313702,daman
209115,daman
639205,daman
609310,daman
622515,daman
621106,daman
614708,daman
515124,daman
535580,daman
605401,daman
637409,daman
577516,davangere
577556,davangere
577514,davangere
577005,davangere
577006,davangere
577525,davangere
577601,davangere
577528,davangere
577002,davangere
577589,davangere
577530,davangere
577534,davangere
577213,davangere
577215,davangere
577218,davangere
577221,davangere
577552,davangere
577224,davangere
577551,davangere
577217,davangere
577231,davangere
577219,davangere
577223,davangere
577225,davangere
577008,davangere
577566,davangere
577001,davangere
577513,davangere
577553,davangere
577544,davangere
577230,davangere
577521,davangere
577007,davangere
577004,davangere
577009,davangere
577512,davangere
577003,davangere
110037,delhi
110054,delhi
110007,delhi
110035,delhi
110001,delhi
110003,delhi
110062,delhi
110024,delhi
110049,delhi
110021,delhi
110023,delhi
110067,delhi
110022,delhi
110070,delhi
110028,delhi
110046,delhi
110018,delhi
110006,delhi
110010,delhi
486441,delhi
110092,delhi
110031,delhi
110065,delhi
110066,delhi
110057,delhi
385001,delhi
110038,delhi
110032,delhi
110051,delhi
110011,delhi
110004,delhi
110102,delhi
110044,delhi
110017,delhi
110061,delhi
110077,delhi
110088,delhi
110069,delhi
110005,delhi
110080,delhi
110027,delhi
131001,delhi
486111,delhi
110106,delhi
110042,delhi
110008,delhi
110020,delhi
110064,delhi
110058,delhi
110026,delhi
301001,delhi
455001,dewas
455227,dewas
455111,dewas
455115,dewas
455223,dewas
455332,dewas
455440,dewas
455221,dewas
455336,dewas
455339,dewas
455459,dewas
455118,dewas
455116,dewas
305631,dewas
123034,dewas
332301,dewas
731201,dewas
425428,dhule
425407,dhule
424002,dhule
425408,dhule
424301,dhule
424311,dhule
424318,dhule
424305,dhule
424306,dhule
